id,name,last_name,birth_date,height_cm,weight_kg
0,Stephanie,Nash,1994-09-25,153.19747658643456,110.10826172296595
1,Karen,Hopkins,2002-05-01,172.34422756364197,96.80269957916406
2,Brian,Stewart,1992-03-12,187.57320202743935,86.28496300644822
3,Travis,Edwards,1995-07-11,196.05505061830104,67.14496004556223
4,Evan,Melton,1992-09-29,163.6134692049577,55.2631839787227
5,Nicholas,Brown,1999-10-06,196.4062480437497,101.97576781785054
6,Teresa,Bernard,1989-07-02,164.1533813674679,117.71700241995264
7,John,Wilson,2004-05-16,169.92614267826863,117.31658501821657
8,Valerie,Lopez,1998-11-25,191.59885154492,108.16979687561007
9,Paul,Davis,2002-12-22,171.12819092293753,89.83839028431234
10,Robert,Bailey,2000-01-10,156.4768104847166,55.43211491049039
11,Michelle,Collins,1999-03-04,189.51978166056028,112.26050446584873
12,Laura,Keith,1993-04-09,158.43194548715206,66.92279576153226
13,Michael,Stokes,2007-09-10,159.5654876065414,119.29131609434266
14,Rachel,Estrada,1996-11-21,163.46475982185513,52.96863022439271
15,Mercedes,Hernandez,2002-08-17,167.2397656988682,110.65682167186263
16,Thomas,Fox,1996-03-10,199.12766034780623,55.62780047240123
17,Christopher,Armstrong,1990-12-31,170.26888952962753,94.21516400313556
18,Christian,Summers,2002-11-26,186.09505103578078,79.47704755407295
19,Kim,Myers,1996-12-03,170.72475251929998,88.34399027643431
20,Janet,Hurley,1990-12-16,175.67540157514247,72.03980408836551
21,Christine,Green,1993-05-26,195.27972217455837,61.8349833312624
22,Louis,Smith,2005-04-11,199.27074207444093,73.63959282455092
23,Judith,Gordon,1989-03-08,162.48683724434952,107.59641493327439
24,Raymond,Baker,2004-06-12,180.67601172321673,50.86416687587485
25,Sandra,Montgomery,1995-01-09,159.77792344928443,100.47125112539916
26,Jacob,Roberts,2000-09-13,158.65176789088792,102.93863064835934
27,Alexander,Gamble,1994-04-24,193.98641567737133,102.97099003742875
28,Ronald,Garcia,1995-03-08,191.22107481305287,89.15110755676034
29,Jessica,Escobar,1993-09-22,150.78327450283405,93.40849267690902
30,Tonya,Bonilla,1995-08-18,153.3305864954346,115.04367931451328
31,Megan,Garcia,2005-12-31,172.31056240908237,88.73787809761663
32,Amy,Williams,1991-07-27,199.90575776958173,50.87182182352029
33,Robert,Taylor,1991-10-08,166.89628579256953,94.55285414056425
34,Thomas,Hernandez,1998-05-10,172.55532991190105,118.47501801102688
35,John,Pineda,1989-02-24,182.46246337436406,60.437621330618114
36,Robert,Lopez,1998-06-30,181.04596102003092,70.05856483137565
37,Eric,Matthews,2002-04-08,185.6692162297512,102.29337199861604
38,Michelle,Fisher,2002-04-19,194.34192365626558,64.66246374346841
39,Kathy,Miller,2005-07-19,193.62739089732796,75.80205745227566
40,Jesus,Chavez,1993-06-12,150.84128770196412,114.99384825078016
41,Karen,Conrad,2006-05-07,193.92456343682198,84.82180459558586
42,Michael,Williams,1994-07-07,185.43782908617055,72.72537995122782
43,Anna,Montes,1989-03-08,195.72341846548045,52.59309634867189
44,Andrew,Mcclure,1999-01-31,158.9934919555693,64.43160844359059
45,Stephanie,Taylor,1993-03-01,185.94645136082033,105.42547684159216
46,Brittany,Johnson,1998-12-09,189.506996116229,76.23022083795523
47,Cathy,Bowen,1990-11-15,150.47501474392374,81.0550698200215
48,Stephanie,Watson,1997-02-09,185.91528437361606,92.96830323971855
49,William,Williams,1992-01-30,178.37308404435692,79.29282247413117
50,Amanda,Miller,1998-05-01,174.04213001870332,107.8228440668039
51,Hannah,Smith,1990-11-15,189.51793158704868,76.6942906998268
52,Tony,Mills,1992-12-02,156.91259296357032,108.29012047956233
53,Lori,Howard,2003-05-12,158.27842601041766,116.70361094664322
54,Samuel,Hubbard,1992-01-01,197.37084452723883,73.98082264825666
55,Vicki,Haas,1994-10-26,194.94651815273727,85.82270447746234
56,Sarah,Maldonado,1995-12-15,197.23778658474626,50.0806679688435
57,Sheila,Mckay,2006-07-25,192.71299405339698,115.76542614388933
58,Alexander,Bailey,2000-10-30,167.31934839145126,95.87730544994031
59,Andrew,Daniel,1990-06-29,162.17528236837032,101.42365616528093
60,Tanner,Jones,2000-07-14,153.91604237584582,74.5532515525129
61,Vanessa,Gordon,2003-05-22,153.9669709684667,90.57111350654775
62,Matthew,Gibson,2000-11-11,178.14476833883458,62.241995550695655
63,Kari,Huynh,1993-09-06,181.62803973943082,53.630083244621396
64,Jodi,Mendoza,1989-01-20,167.39490145701143,67.56849478642464
65,Derek,Gonzalez,2001-07-09,181.6558770074194,81.43228790530928
66,Samantha,Alexander,1996-12-10,171.52149312563756,54.37201385551289
67,Kyle,Owens,1995-08-05,179.98603388163627,78.26795363789367
68,Chad,Washington,1989-09-24,151.8265405498013,68.20812772683234
69,Melody,Colon,2007-07-17,171.8315771942967,75.11162849853022
70,Lisa,Walker,1989-08-18,155.18992069716353,54.822550697425136
71,Patrick,Long,2006-11-15,162.19961398861992,100.16799327681127
72,Steven,Farley,1992-02-14,179.27022953955384,60.73108525733596
73,Jenna,Lopez,2000-04-23,176.2686088737231,79.9036521387512
74,Eric,Lewis,1990-08-20,151.13183342765512,102.80056646199495
75,Gary,Ward,1991-07-22,194.7650359343734,86.43910710940854
76,Catherine,Mejia,2004-02-12,177.1186241494781,67.39362613072898
77,Robert,Ritter,2002-02-24,162.37652907948242,98.69838800580749
78,Joe,Russo,1992-08-09,164.7822943633936,51.324843960624456
79,Monica,Phillips,2001-09-22,191.0631821426686,77.1571097842298
80,Austin,Young,1992-12-23,157.99617604407905,94.30579456133636
81,Katherine,Adams,1988-10-23,189.2406998386894,97.18372393821386
82,Jennifer,Chen,1998-08-13,163.53398321600253,87.73960297056686
83,Catherine,Tucker,2001-05-25,165.6261269830245,50.27448371876354
84,Mallory,Johnson,1990-07-03,181.38080872775924,118.15425402447921
85,Todd,Dunn,2003-06-06,166.46582348673212,83.52634584064342
86,Brian,Phillips,2001-12-31,196.49152027788904,69.81142610593102
87,Rebecca,Gibson,2006-01-28,184.26070675283023,65.81309255012991
88,Whitney,Mills,1998-10-04,170.35961708093924,78.78377983831083
89,Patty,Sanchez,1991-06-27,186.55494771793013,53.596400843503105
90,Michael,Richardson,1990-05-13,197.3766675769138,69.1628613336781
91,Christopher,Norris,1994-01-04,167.03117828801393,55.05404945608069
92,Robert,Rivers,1989-09-02,163.36618755150005,97.1017033062563
93,Rodney,Johnson,2001-11-25,198.50434241962958,109.07325421238477
